Liabilities	Liabilities	Liabilities	Liabilities	Liabilities	Liabilities		
Cereals	-2	1	3	5	17		
General cropping	-5	1	3	6	16		
Pigs & Poultry	-23	-5	1	4	17		
Mixed	-11	-2	0	3	9		
Horticulture	-46	-8	-2	2	18		
Distribution of ROCE by farm type	Distribution of ROCE by farm type	Distribution of ROCE by farm type	Distribution of ROCE by farm type	Distribution of ROCE by farm type	Distribution of ROCE by farm type		
	Percentage of farm businesses						
	ROCE (FBI) (%) 						
Farm Type	Negative	0-<2.5%	2.5%-<5%	5%-<10%	10%+		
Dairy	38	26	19	12	5		
LFA Grazing Livestock	59	26	7	5	3		
Lowland Grazing Livestock (a)	61	29	5	5			
Cereals	13	30	34	13	9		
General Croping	18	27	28	19	9		
Pigs & Poultry	43	24	12	11	11		
Mixed	44	31	16	5	4		
Horticulture	60	16	8	5	11		
Average ROCE and median ROCE by farm size	Average ROCE and median ROCE by farm size	Average ROCE and median ROCE by farm size	Average ROCE and median ROCE by farm size				
Farm Size	Average ROCE (FBI) (%)	95% Confidence Interval (%) (±)	Median ROCE (FBI) (%)				
Spare & part-time	1	0	1				
Small	1	0	0				
Medium	2	0	1				
Large	2	0	1				
Very large	4	0	3				
Percentile values of ROCE by farm size	Percentile values of ROCE by farm size	Percentile values of ROCE by farm size	Percentile values of ROCE by farm size	Percentile values of ROCE by farm size	Percentile values of ROCE by farm size		
	Percentile values of ROCE (FBI) (%)						
Farm Size	5%	25%	50%	75%	95%		
Spare & part-time	-24	-2	1	3	7		
Small	-13	-2	0	3	11		
Medium	-11	-2	1	3	10		
Large	-10	-1	1	4	12		
Very large	-3	1	3	6	15		
Distribution of ROCE by farm size	Distribution of ROCE by farm size	Distribution of ROCE by farm size	Distribution of ROCE by farm size	Distribution of ROCE by farm size	Distribution of ROCE by farm size		
	Percentage of farm businesses						
	ROCE (FBI) (%)						
Farm Size	Negative	0-<2.5%	2.5%-<5%	5%-<10%	10%+		
Spare & part time	46	29	17	4	4		
Small	46	24	17	7	6		
Medium	41	30	15	8	5		
Large	34	30	17	12	6		
Very large	17	25	27	19	12		
Average ROCE and median ROCE by farm tenure	Average ROCE and median ROCE by farm tenure	Average ROCE and median ROCE by farm tenure	Average ROCE and median ROCE by farm tenure				
Farm Tenure	Average ROCE (FBI) (%)	95% Confidence Interval (%) (±)	Median ROCE (FBI) (%)				
Owner occupied	1	0	1				
Mixed - mainly owner occupied	2	0	1				
Mixed - mainly tenanted	4	1	2				
Tenanted	4	2	-1				
Percentile values of ROCE by farm Tenure							
	Percentile values of ROCE (FBI) (%)						
